REGION,STATE,CITY,POPULATION
Pacific,Oregon,"Beaverton, OR",97514
Northeast,Pennsylvania,"Erie, PA",97369
Midwest,Missouri,"Lee's Summit, MO",97290
Midwest,Kansas,"Lawrence, KS",96892
Pacific,Washington,"Federal Way, WA",96690
Midwest,Michigan,"Flint, MI",96448
Pacific,California,"San Marcos, CA",96198
Mountain,New Mexico,"Rio Rancho, NM",96159
Mountain,Utah,"Sandy, UT",96145
Pacific,California,"Mission Viejo, CA",96016
Northeast,Massachusetts,"Brockton, MA",95672
Mountain,Arizona,"Yuma, AZ",95502
Pacific,California,"South Gate, CA",95430
Northeast,Massachusetts,"New Bedford, MA",95120
Pacific,California,"Hesperia, CA",94859
South,Georgia,"Roswell, GA",94786
South,Virginia,"Portsmouth, VA",94572
Pacific,Oregon,"Bend, OR",94520
Midwest,Michigan,"Dearborn, MI",94491
Mountain,Colorado,"Longmont, CO",94341
South,Florida,"Sunrise, FL",94323
Northeast,Massachusetts,"Quincy, MA",94166
Midwest,Michigan,"Livonia, MI",94105
Northeast,Massachusetts,"Lynn, MA",94063
South,Florida,"Plantation, FL",93909
South,Oklahoma,"Lawton, OK",93714
Pacific,Washington,"Yakima, WA",93667
Mountain,Idaho,"Nampa, ID",93590
Pacific,California,"Chico, CA",93293
Pacific,California,"Carson, CA",92735
South,Florida,"Miami Beach, FL",92307
Pacific,California,"Santa Monica, CA",92306
Midwest,Indiana,"Carmel, IN",92198
South,North Carolina,"Greenville, NC",92156
Pacific,California,"Santa Barbara, CA",92101
South,North Carolina,"Concord, NC",92067
South,Oklahoma,"Edmond, OK",91950
South,North Carolina,"Asheville, NC",91902
Midwest,Indiana,"Fishers, IN",91832
Pacific,California,"Redding, CA",91794
Pacific,California,"Westminster, CA",91564
Pacific,California,"Tracy, CA",90889
South,Florida,"Deltona, FL",90746
Pacific,California,"Menifee, CA",90595
Pacific,California,"San Leandro, CA",90553
Pacific,California,"Livermore, CA",90295
South,Texas,"Edinburg, TX",90280
South,Virginia,"Suffolk, VA",90237
Pacific,California,"Chino, CA",89797
Pacific,California,"Indio, CA",89793
Northeast,Massachusetts,"Fall River, MA",89420
Pacific,Washington,"Bellingham, WA",89045
Northeast,Connecticut,"Norwalk, CT",89005
Northeast,Massachusetts,"Newton, MA",88994
Pacific,Washington,"Kirkland, WA",88630
South,Texas,"Sugar Land, TX",88485
Northeast,Pennsylvania,"Reading, PA",88423
Northeast,New Hampshire,"Nashua, NH",88341
South,Arkansas,"Fort Smith, AR",88037
Pacific,California,"Citrus Heights, CA",87931
Pacific,California,"Hawthorne, CA",87854
Midwest,Illinois,"Waukegan, IL",87729
Midwest,Missouri,"O'Fallon, MO",87597
Midwest,Illinois,"Champaign, IL",87432
Mountain,Utah,"Ogden, UT",87031
Pacific,California,"Whittier, CA",86838
Pacific,California,"Redwood City, CA",86685
Northeast,New Jersey,"Clifton, NJ",86607
South,Florida,"Palm Coast, FL",86516
Pacific,California,"Newport Beach, CA",86160
Midwest,Minnesota,"Duluth, MN",86066
Midwest,Minnesota,"Bloomington, MN",85866
Pacific,California,"Alhambra, CA",85396
South,Arkansas,"Fayetteville, AR",85257
Northeast,Connecticut,"Danbury, CT",85246
Pacific,California,"Hemet, CA",85160
Midwest,Indiana,"Bloomington, IN",85071
Northeast,New Jersey,"Trenton, NJ",84964
South,Alabama,"Hoover, AL",84920
South,Florida,"Largo, FL",84754
South,Texas,"Mission, TX",84424
Mountain,Utah,"St. George, UT",84405
South,Texas,"Conroe, TX",84378
South,Georgia,"Johns Creek, GA",84350
Pacific,California,"Lake Forest, CA",84293
Mountain,Arizona,"Avondale, AZ",84025
South,Texas,"Bryan, TX",84021
Midwest,Michigan,"Troy, MI",83813
Mountain,New Mexico,"Santa Fe, NM",83776
Pacific,California,"Merced, CA",83081
Pacific,California,"Buena Park, CA",83015
Pacific,California,"Pleasanton, CA",83007
Midwest,Iowa,"Sioux City, IA",82514
South,Florida,"Melbourne, FL",82011
Pacific,Oregon,"Medford, OR",81780
Midwest,Michigan,"Westland, MI",81747
Pacific,Washington,"Kennewick, WA",81607
South,Texas,"Longview, TX",81522
Pacific,California,"Mountain View, CA",81438
Northeast,Massachusetts,"Somerville, MA",81360
Northeast,Rhode Island,"Cranston, RI",81202
Midwest,Michigan,"Farmington Hills, MI",81050
South,Virginia,"Lynchburg, VA",80995
Pacific,California,"Lakewood, CA",80967
Northeast,Rhode Island,"Warwick, RI",80871
Pacific,Washington,"Auburn, WA",80776
Midwest,Minnesota,"Brooklyn Park, MN",80581
South,Florida,"Deerfield Beach, FL",80571
Pacific,California,"Tustin, CA",80498
Pacific,California,"Chino Hills, CA",80374
Northeast,Massachusetts,"Lawrence, MA",80162
Northeast,New York,"New Rochelle, NY",79946
South,Florida,"Fort Myers, FL",79943
Mountain,Arizona,"Goodyear, AZ",79858
Pacific,California,"Napa, CA",79774
South,Arkansas,"Springdale, AR",79599
South,Texas,"Pharr, TX",79487
Pacific,California,"Manteca, CA",79268
Pacific,California,"Alameda, CA",79177
Midwest,Ohio,"Parma, OH",79167
South,Texas,"New Braunfels, TX",79152
Midwest,Minnesota,"Plymouth, MN",78395
South,Tennessee,"Franklin, TN",78321
Pacific,California,"Milpitas, CA",78106
Pacific,California,"Folsom, CA",78038
Midwest,Illinois,"Bloomington, IL",77934
Pacific,California,"Perris, CA",77879
Pacific,California,"Bellflower, CA",77772
South,Florida,"Boynton Beach, FL",77702
Northeast,Pennsylvania,"Scranton, PA",77605
Midwest,Wisconsin,"Racine, WI",77542
South,Louisiana,"Lake Charles, LA",77117
Pacific,California,"Upland, CA",76999
South,Texas,"Baytown, TX",76804
Mountain,Colorado,"Loveland, CO",76701
Mountain,Utah,"Layton, UT",76691
Midwest,Indiana,"Hammond, IN",76618
South,North Carolina,"Gastonia, NC",76593
Midwest,Missouri,"St. Joseph, MO",76442
Pacific,California,"Baldwin Park, CA",76402
Midwest,Indiana,"Gary, IN",76008
Midwest,Michigan,"Wyoming, MI",75938
Pacific,California,"San Ramon, CA",75931
South,Arkansas,"Jonesboro, AR",75866
Midwest,Michigan,"Kalamazoo, MI",75807
Midwest,Iowa,"Iowa City, IA",75798
Northeast,Pennsylvania,"Bethlehem, PA",75707
South,Texas,"Cedar Park, TX",75704
Pacific,California,"Union City, CA",75343
South,Georgia,"Warner Robins, GA",74854
Midwest,Illinois,"Evanston, IL",74756
Midwest,Wisconsin,"Appleton, WI",74653
Northeast,New Jersey,"Camden, NJ",74532
